
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L          U2_EXT_X05_Y1  
                2.78799           43.1578           780.378E-03          2.47157E-03      812.608E-03         -5.97281E-03      578.572E-03        578.407E-03        798.396E-03         43.1722            42.4842            42.4842             0.               349.534E-03        991.435E-03          0.                 1.E-03            25.               224.755E-06         -3.81798            3.99819           27.4225E-06 
                2.86775           42.7046           771.836E-03          2.24839E-03      798.915E-03         -5.73197E-03      517.486E-03        517.361E-03        784.829E-03         42.7188            42.0684            42.0684             0.               348.805E-03        989.484E-03          0.                 1.E-03            25.               231.185E-06         -3.73477            4.1092            27.1902E-06 
                2.94751           46.5835           837.606E-03          2.68869E-03      860.749E-03         -6.71744E-03      662.689E-03        662.439E-03        845.66E-03          46.5989            45.8451            45.8451             0.               349.779E-03        993.39E-03           0.                 1.E-03            25.               237.615E-06         -4.0765             3.99214           29.5834E-06 
                3.02728           47.5556           859.048E-03          2.78828E-03      889.498E-03         -6.55371E-03      614.643E-03        614.475E-03        873.858E-03         47.5714            46.8277            46.8277             0.               349.221E-03        990.838E-03          0.                 1.E-03            25.               244.045E-06         -4.36591            4.17222           30.6394E-06 
                3.10704           47.5585           860.097E-03          2.39545E-03      890.685E-03         -5.74541E-03      610.25E-03         610.124E-03        874.966E-03         47.5743            46.8323            46.8323             0.               349.185E-03        990.646E-03          0.                 1.E-03            25.               250.475E-06         -4.41064            3.98959           30.6832E-06 
                3.1868            47.2739           854.148E-03          2.87846E-03      864.614E-03         -6.2021E-03       615.279E-03        615.112E-03        849.067E-03         47.2896            46.5579            46.5579             0.               349.054E-03        991.689E-03          0.                 1.E-03            25.               256.905E-06         -4.34417            4.48622           30.5819E-06 
                3.26657           48.5339           879.208E-03          2.65712E-03      896.178E-03         -6.36836E-03      586.511E-03        586.37E-03         880.097E-03         48.5502            47.8176            47.8176             0.               348.663E-03        989.84E-03           0.                 1.E-03            25.               263.335E-06         -4.45083            4.81021           31.324E-06  
                3.34633           49.041            888.643E-03          2.81185E-03      911.695E-03         -5.81738E-03      623.089E-03        622.963E-03        895.419E-03         49.0574            48.2987            48.2987             0.               349.048E-03        990.67E-03           0.                 1.E-03            25.               269.766E-06         -4.39536            4.72407           31.5441E-06 
                3.42609           52.8573           957.206E-03          2.91126E-03      974.732E-03         -6.76267E-03      698.122E-03        697.942E-03        957.257E-03         52.875             52.0478            52.0478             0.               349.231E-03        991.759E-03          0.                 1.E-03            25.               276.196E-06         -4.80647            4.67983           34.0589E-06 
                3.50586           56.1051             1.01434            3.33007E-03        1.03426           -7.32718E-03      741.417E-03        741.218E-03          1.01578           56.1238            55.2458            55.2458             0.               349.232E-03        991.78E-03           0.                 1.E-03            25.               282.626E-06         -5.08659            4.71325           36.0124E-06 
                3.58562           55.6969             1.00583            3.17335E-03        1.0522            -7.32506E-03      677.701E-03        677.548E-03          1.03385           55.7154            54.8605            54.8605             0.               348.926E-03        989.258E-03          0.                 1.E-03            25.               289.056E-06         -5.00526            4.68812           35.668E-06  
                3.66538           56.8523             1.02522            3.57696E-03        1.05873           -7.7309E-03       822.91E-03         822.63E-03           1.04017           56.8711            55.94              55.94               0.               349.981E-03        993.568E-03          0.                 1.E-03            25.               295.492E-06         -5.04868            5.17425           36.2531E-06 
                3.74515           56.1562             1.01397            3.17174E-03        1.04479           -7.78411E-03      808.217E-03        807.935E-03          1.02642           56.1749            55.258             55.258              0.               349.929E-03        993.46E-03           0.                 1.E-03            25.               302.445E-06         -5.00461            5.501             35.8456E-06 
                3.82491           57.4758             1.03491            3.89478E-03        1.06793           -7.61345E-03      629.07E-03         628.929E-03          1.04909           57.4948            56.657             56.657              0.               348.135E-03        987.734E-03          0.                 1.E-03            25.               310.249E-06         -5.15786            5.37906           36.7702E-06 
                3.90467           59.3654             1.07612            3.36736E-03        1.09172           -7.52464E-03      674.899E-03        674.754E-03          1.072             59.3852            58.5129            58.5129             0.               348.254E-03        988.771E-03          0.                 1.E-03            25.               318.904E-06         -5.55007            5.57645           38.4789E-06 
                3.98444           62.5365             1.13206            2.9374E-03         1.15863           -8.33374E-03      893.2E-03          892.913E-03          1.13804           62.5574            61.5423            61.5423             0.               349.832E-03        993.412E-03          0.                 1.E-03            25.               328.41E-06          -5.81398            5.48834           40.4572E-06 
                4.0642            62.6697             1.13422            3.56567E-03        1.14772           -8.69882E-03      918.826E-03        918.458E-03          1.12718           62.6906            61.668             61.668              0.               349.918E-03        994.402E-03          0.                 1.E-03            25.               338.767E-06         -5.77357            5.76433           40.5592E-06 
                4.14396           66.6598             1.20306            4.27058E-03        1.23245           -8.3024E-03       721.592E-03        721.448E-03          1.21048           66.6819            65.7173            65.7173             0.               348.025E-03        987.692E-03          0.                 1.E-03            25.               349.975E-06         -5.99848            6.24206           42.7438E-06 
                4.22373           67.1901             1.21309            3.65046E-03        1.25727           -8.68098E-03      877.531E-03        877.316E-03          1.23517           67.2124            66.1569            66.1569             0.               349.295E-03        991.053E-03          0.                 1.E-03            25.               362.034E-06         -5.97949            6.45497           42.8913E-06 
                4.30349           70.9314             1.27928            4.1351E-03         1.31248           -9.99146E-03        1.07624            1.07576            1.28946           70.9549            69.7726            69.7726             0.               350.282E-03        994.934E-03          0.                 1.E-03            25.               374.943E-06         -6.33574            6.38035           45.4139E-06 
                4.38325           75.6744             1.36568            4.29168E-03        1.42097          -10.2382E-03         1.01684            1.01655            1.39614           75.6995            74.4939            74.4939             0.               349.524E-03        991.572E-03          0.                 1.E-03            25.               388.704E-06         -6.81236            6.67561           48.3127E-06 
                4.46302           77.8175             1.40409            4.34991E-03        1.46192          -10.0447E-03         1.03281            1.03256            1.43636           77.8433            76.6096            76.6096             0.               349.444E-03        991.282E-03          0.                 1.E-03            25.               403.316E-06         -7.05181            6.70718           49.8735E-06 
                4.54278           78.4652             1.41994            3.92722E-03        1.46439          -10.7771E-03         1.11915            1.11878            1.43858           78.4914            77.2132            77.2132             0.               349.892E-03        993.15E-03           0.                 1.E-03            25.               418.779E-06         -7.09967            7.13942           50.403E-06  
                4.62254           81.0363             1.46647            3.94649E-03        1.4966           -10.9533E-03         1.12867            1.12831            1.46993           81.0634            79.7648            79.7648             0.               349.618E-03        992.916E-03          0.                 1.E-03            25.               435.092E-06         -7.36884            7.83038           52.2756E-06 
                4.70231           82.9682             1.49914            4.81797E-03        1.54269          -10.3952E-03       999.175E-03        998.962E-03          1.51531           82.9958            81.7399            81.7399             0.               348.708E-03        989.552E-03          0.                 1.E-03            25.               452.257E-06         -7.57902            7.93658           53.4362E-06 
                4.78207           87.2859             1.57952            4.87881E-03        1.61237          -11.613E-03          1.11445            1.11416            1.58356           87.315             85.9671            85.9671             0.               349.02E-03         990.969E-03          0.                 1.E-03            25.               470.272E-06         -7.99338            8.11587           56.3436E-06 
                4.86184           93.7758             1.69617            5.17664E-03        1.7348           -12.3848E-03         1.23233            1.232              1.70388           93.807             92.34              92.34               0.               349.227E-03        991.548E-03          0.                 1.E-03            25.               489.139E-06         -8.61491            8.31185           60.4819E-06 
                4.9416            96.9335             1.74786            5.78084E-03        1.80992          -12.5998E-03         1.30855            1.30821            1.77816           96.9656            95.4233            95.4233             0.               349.502E-03        991.854E-03          0.                 1.E-03            25.               508.856E-06         -8.75238            8.60584           62.1859E-06 
                5.02136          101.028              1.82337            6.05075E-03        1.90538          -13.6976E-03         1.35262            1.35226            1.87221          101.061             99.45              99.45               0.               349.541E-03        991.352E-03          0.                 1.E-03            25.               529.425E-06         -9.04447            9.0755            64.4891E-06 
                5.10113          103.562              1.87148            6.04228E-03        1.94287          -13.9605E-03         1.36826            1.36789            1.90878          103.597            101.96             101.96               0.               349.398E-03        991.226E-03          0.                 1.E-03            25.               550.844E-06         -9.2483             9.77054           66.1315E-06 
                5.18089          107.944              1.94842            6.24714E-03        1.99602          -14.6099E-03         1.46123            1.4608             1.96063          107.98             106.27             106.27               0.               349.428E-03        992.221E-03          0.                 1.E-03            25.               573.115E-06         -9.68074            9.81334           69.1917E-06 
                5.26065          113.322              2.04615            6.51322E-03        2.11445          -15.0679E-03         1.49581            1.49541            2.07721          113.36             111.575            111.575              0.               349.34E-03         991.375E-03          0.                 1.E-03            25.               596.236E-06        -10.2509            10.2843            72.7487E-06 
