
                  X               SDV_EQPS           SDV_Seq            SDV_Qeq             MISES      

                0.                 0.                 0.                 0.                 0.         
               93.3173E-03        85.8181E-03       679.688            679.688            679.688      
               93.9707E-03        86.4114E-03       680.487            680.487            680.487      
               94.6239E-03        87.0044E-03       681.282            681.282            681.282      
               95.277E-03         87.597E-03        682.07             682.07             682.07       
               95.9301E-03        88.1891E-03       682.853            682.853            682.853      
               96.583E-03         88.7809E-03       683.631            683.631            683.631      
               97.2359E-03        89.3722E-03       684.404            684.404            684.404      
               97.8887E-03        89.9631E-03       685.171            685.171            685.171      
               98.5414E-03        90.5536E-03       685.934            685.934            685.934      
               99.194E-03         91.1437E-03       686.691            686.691            686.691      
               99.8465E-03        91.7334E-03       687.443            687.443            687.443      
              100.499E-03         92.3226E-03       688.19             688.19             688.19       
              101.151E-03         92.9115E-03       688.933            688.933            688.933      
              101.803E-03         93.4999E-03       689.67             689.67             689.67       
              102.456E-03         94.088E-03        690.403            690.403            690.403      
              103.108E-03         94.6756E-03       691.131            691.131            691.131      
              103.76E-03          95.2628E-03       691.855            691.855            691.855      
              104.411E-03         95.8496E-03       692.574            692.574            692.574      
              105.063E-03         96.436E-03        693.288            693.288            693.288      
              105.715E-03         97.022E-03        693.998            693.998            693.998      
              106.366E-03         97.6076E-03       694.703            694.703            694.703      
              107.018E-03         98.1927E-03       695.404            695.404            695.404      
              107.669E-03         98.7775E-03       696.101            696.101            696.101      
              108.321E-03         99.3619E-03       696.793            696.793            696.793      
              108.972E-03         99.9458E-03       697.482            697.482            697.482      
              109.623E-03        100.529E-03        698.165            698.165            698.165      
              110.274E-03        101.112E-03        698.845            698.845            698.845      
              110.925E-03        101.695E-03        699.521            699.521            699.521      
              111.576E-03        102.278E-03        700.193            700.193            700.193      
              112.226E-03        102.859E-03        700.861            700.861            700.861      
              112.877E-03        103.441E-03        701.524            701.524            701.524      
              113.528E-03        104.022E-03        702.184            702.184            702.184      
              114.178E-03        104.603E-03        702.84             702.84             702.84       
              114.828E-03        105.183E-03        703.492            703.492            703.492      
              115.479E-03        105.763E-03        704.141            704.141            704.141      
              116.129E-03        106.342E-03        704.785            704.785            704.785      
              116.779E-03        106.921E-03        705.426            705.426            705.426      
              117.429E-03        107.5E-03          706.064            706.064            706.064      
