
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L            U2_EXT_Y1    
                2.90913           25.0001            -1.15173E-03      289.568E-06          3.65161         -516.78E-06        -129.713E-03       -129.713E-03          3.65161           25.0001            23.4687            23.4687             0.               405.106E-03        732.635E-03          0.                 1.E-03            25.               322.993E-06         -3.95965            3.76772           23.7354E-06 
                2.99472           25.7703            -1.82965E-03     -303.441E-06          3.02178          855.12E-06         214.735E-03        214.735E-03          3.02178           25.7703            24.2741            24.2741             0.               398.324E-03        808.412E-03          0.                 1.E-03            25.               332.496E-06         -4.11006            3.69706           24.911E-06  
                3.08031           26.0355          -521.646E-06        -22.6699E-06         2.93787         -363.865E-06        -42.3073E-06       -42.3524E-06         2.93787           26.0355            24.698             24.698              0.               391.035E-03        802.902E-03          0.                 1.E-03            25.               341.999E-06         -4.14533            4.17638           25.0891E-06 
                3.1659            25.477           -474.661E-06        496.724E-06          2.83929          518.952E-06         10.675E-03         10.6749E-03         2.83929           25.477             24.1764            24.1764             0.               390.559E-03        806.153E-03          0.                 1.E-03            25.               351.501E-06         -3.98134            4.42537           24.617E-06  
                3.25148           27.3327            -1.31991E-03     -416.581E-06          4.29959          342.662E-06        -17.6454E-03       -17.6455E-03         4.29959           27.3327            25.4676            25.4676             0.               413.788E-03        718.601E-03          0.                 1.E-03            25.               361.004E-06         -4.38874            4.56394           25.8964E-06 
                3.33707           28.9595          -822.645E-06         11.7677E-06         3.19195           71.5931E-06        60.9757E-03        60.9757E-03         3.19195           28.9595            27.4672            27.4672             0.               390.92E-03         811.156E-03          0.                 1.E-03            25.               370.506E-06         -4.52314            4.17718           27.8961E-06 
                3.42266           29.6349          -711.572E-06        189.916E-06          2.87172         -288.13E-06         -33.9062E-03       -33.9063E-03         2.87172           29.6349            28.328             28.328              0.               382.104E-03        830.126E-03          0.                 1.E-03            25.               380.008E-06         -4.67684            4.55098           28.6854E-06 
                3.50824           28.6022            -1.53453E-03     -773.941E-06          4.44624          237.638E-06        -24.7076E-03       -24.7077E-03         4.44624           28.6022            26.6739            26.6739             0.               412.684E-03        721.784E-03          0.                 1.E-03            25.               389.511E-06         -4.57041            4.72959           27.1847E-06 
                3.59382           29.7398            -1.14842E-03      -95.9214E-06         3.71167         -193.366E-06         91.4367E-03        91.4366E-03         3.71167           29.7398            28.0143            28.0143             0.               399.117E-03        785.81E-03           0.                 1.E-03            25.               399.013E-06         -4.69764            4.92703           28.5755E-06 
                3.67941           31.7056            -1.2198E-03        41.9174E-06         3.33475          -10.2944E-06        26.7872E-03        26.7872E-03         3.33475           31.7056            30.1611            30.1611             0.               387.553E-03        818.323E-03          0.                 1.E-03            25.               408.515E-06         -4.98565            4.94685           30.5358E-06 
