PlasticStrain,PlasticStress,YoungModulus
0.00387295,512.57971315,0
0.00402418,516.08374458,0
0.00408791,519.11334586,0
0.00436334,522.36850282,0
0.00458519,525.1132404,0
0.00475229,528.36147579,0
0.00494033,531.14452651,0
0.00513016,534.30634978,0
0.00534409,537.09890265,0
0.0056183,539.71668792,0
0.00577609,542.54190479,0
0.00591268,545.14102626,0
0.00616444,548.55173661,0
0.00646917,550.97625042,0
0.00656084,554.36209671,0
0.00676633,556.51835172,0
0.00708016,559.32273187,0
0.00731668,561.98416843,0
0.00742377,564.4657165,0
0.0076924,567.36350827,0
0.00796967,569.99790601,0
0.00819257,572.33256247,0
0.00838957,574.64661402,0
0.00862422,577.58442243,0
0.00888319,580.10548703,0
0.00918664,582.65386854,0
0.00937313,584.75667753,0
0.00953129,587.38442542,0
0.0098471,589.61944864,0
0.01014638,592.17075968,0
0.01032327,594.70474609,0
0.01052051,596.87288364,0
0.01085318,600.14550518,0
0.01113592,601.45336325,0
0.0113208,603.8338999,0
0.0115692,606.09136894,0
0.01186288,608.16072712,0
0.01215532,610.44747062,0
0.01239658,612.59559658,0
0.01260692,614.99701353,0
0.01292264,617.03049017,0
0.01325183,619.29078313,0
0.01344942,621.25327001,0
0.01366434,623.44467355,0
0.01402214,625.83538655,0
0.01431577,627.75246686,0
0.01450898,630.58594072,0
0.01480577,631.80708304,0
0.0151165,633.95587921,0
0.0154131,635.93370792,0
0.01570461,638.18164497,0
0.01593622,639.84785588,0
0.01623839,642.15942946,0
0.01658075,643.74229387,0
0.01684806,645.59784679,0
0.01706291,647.63838969,0
0.01740806,649.32841346,0
0.01773277,651.44268772,0
0.01797043,653.2897594,0
0.01826213,655.33017525,0
0.0186006,656.80189614,0
0.01890092,659.34191174,0
0.01918818,660.72725588,0
0.01944887,662.26652413,0
0.0197618,664.38129672,0
0.02012458,666.03841623,0
0.02036568,667.78615365,0
0.02067075,669.18774807,0
0.02100888,671.32412691,0
0.02133539,672.80369614,0
0.02162258,674.79858329,0
0.0219263,676.42220671,0
0.02226,677.84789237,0
0.02257716,679.65392557,0
0.02289843,681.34730547,0
0.02318706,682.96448856,0
0.02352787,684.35080562,0
