"E0",,,,,"E1",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
26,0.00146626,0.00963406,6.58015,6.57052,0.00139669,0.00275309,1.97391,1.97116,0.00143489,0.00565677,3.94797,3.94231,-0.000272672,-0.000537479,1.97062,1.97116,-0.000474697,-0.0003119,0.65674,0.657052,-0.000412531,-0.000451758,1.09464,1.09509,-0.000518355,-0.0007947,1.53233,1.53312
27,0.0016341,0.0107369,6.58126,6.57052,0.00154987,0.00305503,1.97421,1.97116,0.00161527,0.0063679,3.94868,3.94231,-0.000374405,-0.000738011,1.97042,1.97116,-0.000594531,-0.000390638,0.656661,0.657052,-0.00057193,-0.000626313,1.09446,1.09509,-0.000609093,-0.000933814,1.53219,1.53312
28,0.00188434,0.0123811,6.5829,6.57052,0.00176908,0.00348714,1.97464,1.97116,0.00186164,0.00733917,3.94965,3.94231,-0.000533475,-0.00105156,1.9701,1.97116,-0.000605894,-0.000398104,0.656654,0.657052,-0.000619806,-0.000678741,1.09441,1.09509,-0.000729966,-0.00111913,1.532,1.53312
29,0.00216764,0.0142426,6.58476,6.57052,0.00210656,0.00415235,1.97531,1.97116,0.00213314,0.0084095,3.95072,3.94231,-0.000659571,-0.00130012,1.96986,1.97116,-0.000801519,-0.000526639,0.656525,0.657052,-0.000731073,-0.000800589,1.09429,1.09509,-0.00091255,-0.00139905,1.53172,1.53312
30,0.00252918,0.016618,6.58714,6.57052,0.0024266,0.00478322,1.97594,1.97116,0.00250616,0.00988005,3.95219,3.94231,-0.00083343,-0.00164282,1.96951,1.97116,-0.000912588,-0.000599618,0.656452,0.657052,-0.000769636,-0.000842818,1.09424,1.09509,-0.00106603,-0.00163436,1.53149,1.53312
31,0.00290974,0.0191185,6.58964,6.57052,0.00282274,0.00556406,1.97672,1.97116,0.00290068,0.0114354,3.95375,3.94231,-0.00104349,-0.00205688,1.9691,1.97116,-0.000992774,-0.000652304,0.6564,0.657052,-0.000935605,-0.00102457,1.09406,1.09509,-0.00123268,-0.00188985,1.53123,1.53312
32,0.00327205,0.0214991,6.59202,6.57052,0.00322247,0.006352,1.97751,1.97116,0.00329183,0.0129774,3.95529,3.94231,-0.00123676,-0.00243784,1.96872,1.97116,-0.0013234,-0.000869543,0.656182,0.657052,-0.00122095,-0.00133704,1.09375,1.09509,-0.00144289,-0.00221212,1.53091,1.53312
33,0.00371839,0.0244317,6.59495,6.57052,0.00365642,0.00720737,1.97836,1.97116,0.00369979,0.0145857,3.9569,3.94231,-0.00144185,-0.00284211,1.96831,1.97116,-0.00150779,-0.000990698,0.656061,0.657052,-0.00132224,-0.00144796,1.09364,1.09509,-0.00165106,-0.00253127,1.53059,1.53312
34,0.00413298,0.0271558,6.59768,6.57052,0.00408229,0.00804682,1.9792,1.97116,0.00415504,0.0163805,3.95869,3.94231,-0.00161687,-0.0031871,1.96797,1.97116,-0.00179935,-0.00118227,0.65587,0.657052,-0.00150912,-0.00165262,1.09343,1.09509,-0.00190082,-0.00291418,1.53021,1.53312
35,0.00456988,0.0300265,6.60055,6.57052,0.00449313,0.00885667,1.98001,1.97116,0.00457902,0.0180519,3.96036,3.94231,-0.00180816,-0.00356417,1.96759,1.97116,-0.00194373,-0.00127713,0.655775,0.657052,-0.00174539,-0.00191136,1.09318,1.09509,-0.0021355,-0.00327398,1.52985,1.53312
36,0.00497332,0.0326773,6.6032,6.57052,0.00495522,0.00976751,1.98092,1.97116,0.00498653,0.0196585,3.96197,3.94231,-0.00199955,-0.00394143,1.96721,1.97116,-0.00222362,-0.00146103,0.655591,0.657052,-0.00201112,-0.00220235,1.09288,1.09509,-0.00228107,-0.00349715,1.52962,1.53312
37,0.00540785,0.0355324,6.60605,6.57052,0.00540297,0.0106501,1.98181,1.97116,0.00542883,0.0214021,3.96371,3.94231,-0.00218261,-0.00430226,1.96685,1.97116,-0.00248422,-0.00163226,0.65542,0.657052,-0.00207397,-0.00227118,1.09282,1.09509,-0.00242755,-0.00372173,1.5294,1.53312
38,0.00582905,0.0382999,6.60882,6.57052,0.00584713,0.0115256,1.98268,1.97116,0.00583507,0.0230037,3.96532,3.94231,-0.00233804,-0.00460864,1.96655,1.97116,-0.00251792,-0.0016544,0.655398,0.657052,-0.00232962,-0.00255114,1.09254,1.09509,-0.00262872,-0.00403015,1.52909,1.53312
39,0.00621551,0.0408391,6.61136,6.57052,0.00624141,0.0123028,1.98346,1.97116,0.00624064,0.0246025,3.96691,3.94231,-0.00255703,-0.00504031,1.96612,1.97116,-0.00279282,-0.00183503,0.655217,0.657052,-0.0024496,-0.00268253,1.0924,1.09509,-0.00287464,-0.00440718,1.52871,1.53312
40,0.00663791,0.0436145,6.61413,6.57052,0.00669611,0.0131991,1.98435,1.97116,0.0066673,0.0262846,3.9686,3.94231,-0.00269687,-0.00531595,1.96584,1.97116,-0.00291982,-0.00191847,0.655133,0.657052,-0.00266878,-0.00292254,1.09216,1.09509,-0.00297933,-0.00456767,1.52855,1.53312
41,0.00704414,0.0462836,6.6168,6.57052,0.00709656,0.0139884,1.98514,1.97116,0.00707352,0.027886,3.9702,3.94231,-0.00283632,-0.00559084,1.96557,1.97116,-0.00316561,-0.00207997,0.654972,0.657052,-0.00281738,-0.00308528,1.092,1.09509,-0.0032026,-0.00490997,1.52821,1.53312
