Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600Large;NT6;00;2;0.0798;0.28843;2;4;0;6;0.2;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
34.5;0.0041198;0.00017303;-1.138e-05;0.11159;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0.0042004;0.0002016;-9.6622e-06;0.11402;0;0;0;0;0;0;0;0;0;0;0;0;0
35.5;0.0042807;0.00013528;-2.8685e-05;0.11629;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0.0044133;0.00021601;5.2619e-05;0.11856;0;0;0;0;0;0;0;0;0;0;0;0;0
36.5;0.004494;0.00021624;1.4586e-05;0.12123;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0.0045689;0.00024518;7.2147e-05;0.12332;0;0;0;0;0;0;0;0;0;0;0;0;0
37.5;0.0047229;0.0001792;8.026e-05;0.12581;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0.004816;0.00021495;6.8277e-05;0.12831;0;0;0;0;0;0;0;0;0;0;0;0;0
38.5;0.0049169;0.00026311;5.423e-05;0.13064;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0.0050539;0.0002295;7.725e-05;0.13297;0;0;0;0;0;0;0;0;0;0;0;0;0
39.5;0.0051386;0.00021953;7.2629e-06;0.13552;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0.0052542;0.00018444;6.5242e-05;0.13809;0;0;0;0;0;0;0;0;0;0;0;0;0
40.5;0.005358;0.00019024;6.0236e-05;0.14046;0;0;0;0;0;0;0;0;0;0;0;0;0
41;0.0054553;0.00023651;3.6748e-05;0.14305;0;0;0;0;0;0;0;0;0;0;0;0;0
41.5;0.0054976;0.00011686;3.3638e-05;0.14525;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0.0056667;0.00026991;5.7633e-05;0.14783;0;0;0;0;0;0;0;0;0;0;0;0;0
42.5;0.0057478;0.0002934;8.2637e-05;0.15044;0;0;0;0;0;0;0;0;0;0;0;0;0
43;0.0058956;0.00021573;5.018e-05;0.15303;0;0;0;0;0;0;0;0;0;0;0;0;0
43.5;0.0060338;0.00029464;6.9997e-05;0.1552;0;0;0;0;0;0;0;0;0;0;0;0;0
44;0.0061335;0.00026684;7.5633e-06;0.15777;0;0;0;0;0;0;0;0;0;0;0;0;0
44.499;0.0062971;0.00025486;3.1111e-05;0.16052;0;0;0;0;0;0;0;0;0;0;0;0;0
45;0.006503;0.00021886;-2.1723e-06;0.16269;0;0;0;0;0;0;0;0;0;0;0;0;0
45.5;0.006581;0.00027421;4.4218e-08;0.16526;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0.00676;0.00040638;3.9518e-05;0.16762;0;0;0;0;0;0;0;0;0;0;0;0;0
46.5;0.0068235;0.00038293;5.9658e-05;0.17019;0;0;0;0;0;0;0;0;0;0;0;0;0
47;0.0070416;0.00036379;7.5524e-05;0.17259;0;0;0;0;0;0;0;0;0;0;0;0;0
47.5;0.007109;0.00037448;-1.5717e-05;0.17518;0;0;0;0;0;0;0;0;0;0;0;0;0
48;0.0072587;0.0003883;3.8053e-05;0.1778;0;0;0;0;0;0;0;0;0;0;0;0;0
48.499;0.0074016;0.00044815;3.0708e-05;0.18039;0;0;0;0;0;0;0;0;0;0;0;0;0
48.999;0.0075512;0.00037756;2.0784e-05;0.18257;0;0;0;0;0;0;0;0;0;0;0;0;0
49.5;0.0077304;0.00043161;-1.2784e-05;0.18513;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0.0079246;0.0004004;3.5763e-05;0.18768;0;0;0;0;0;0;0;0;0;0;0;0;0
50.5;0.0079914;0.00043346;-1.0447e-05;0.19001;0;0;0;0;0;0;0;0;0;0;0;0;0
51;0.0082177;0.00043782;-2.7515e-05;0.19251;0;0;0;0;0;0;0;0;0;0;0;0;0
51.5;0.0083105;0.00046188;6.3691e-05;0.19482;0;0;0;0;0;0;0;0;0;0;0;0;0
52;0.0085344;0.00041899;1.0233e-05;0.19729;0;0;0;0;0;0;0;0;0;0;0;0;0
52.5;0.0086819;0.00062119;5.3108e-06;0.19958;0;0;0;0;0;0;0;0;0;0;0;0;0
52.999;0.0088924;0.00056921;3.2202e-05;0.20205;0;0;0;0;0;0;0;0;0;0;0;0;0
53.5;0.0091325;0.00055338;4.453e-05;0.20453;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0.0092532;0.00057682;6.546e-05;0.2066;0;0;0;0;0;0;0;0;0;0;0;0;0
54.5;0.0095031;0.00065936;5.2385e-05;0.20907;0;0;0;0;0;0;0;0;0;0;0;0;0
55;0.0096707;0.00057101;0.00010621;0.2115;0;0;0;0;0;0;0;0;0;0;0;0;0
55.499;0.0099238;0.00066832;4.7721e-05;0.21373;0;0;0;0;0;0;0;0;0;0;0;0;0
56;0.010076;0.00066087;-1.4437e-05;0.21595;0;0;0;0;0;0;0;0;0;0;0;0;0
56.5;0.010345;0.00065747;5.1221e-05;0.2185;0;0;0;0;0;0;0;0;0;0;0;0;0
56.999;0.010579;0.00071675;-9.7785e-06;0.22048;0;0;0;0;0;0;0;0;0;0;0;0;0
57.499;0.010818;0.00072399;-2.2001e-05;0.22278;0;0;0;0;0;0;0;0;0;0;0;0;0
58;0.011085;0.0007685;4.6599e-05;0.22488;0;0;0;0;0;0;0;0;0;0;0;0;0
58.5;0.011283;0.00075572;-2.4487e-05;0.22712;0;0;0;0;0;0;0;0;0;0;0;0;0
59;0.01156;0.00078463;-2.628e-05;0.22917;0;0;0;0;0;0;0;0;0;0;0;0;0
59.5;0.011772;0.00080061;-1.5991e-05;0.23136;0;0;0;0;0;0;0;0;0;0;0;0;0
60;0.012061;0.00081935;-4.3092e-05;0.2335;0;0;0;0;0;0;0;0;0;0;0;0;0
60.5;0.01246;0.00084147;-4.9825e-05;0.23546;0;0;0;0;0;0;0;0;0;0;0;0;0
61;0.012636;0.00083461;-0.00010142;0.23756;0;0;0;0;0;0;0;0;0;0;0;0;0
61.5;0.012922;0.00085897;-7.1364e-05;0.23961;0;0;0;0;0;0;0;0;0;0;0;0;0
62;0.01319;0.00090491;-7.1061e-05;0.24132;0;0;0;0;0;0;0;0;0;0;0;0;0
62.5;0.01348;0.00099009;-4.9922e-05;0.2433;0;0;0;0;0;0;0;0;0;0;0;0;0
63;0.013801;0.00090178;-4.9464e-05;0.24524;0;0;0;0;0;0;0;0;0;0;0;0;0
63.5;0.01408;0.00093803;-0.00012412;0.24684;0;0;0;0;0;0;0;0;0;0;0;0;0
64;0.014341;0.00097276;-9.1548e-05;0.24883;0;0;0;0;0;0;0;0;0;0;0;0;0
64.5;0.0147;0.0011081;-0.00015042;0.25063;0;0;0;0;0;0;0;0;0;0;0;0;0
65.001;0.015059;0.0010818;-0.00020864;0.25227;0;0;0;0;0;0;0;0;0;0;0;0;0
65.5;0.015378;0.0011935;-0.00018716;0.25388;0;0;0;0;0;0;0;0;0;0;0;0;0
65.999;0.015707;0.0010416;-0.00017015;0.25545;0;0;0;0;0;0;0;0;0;0;0;0;0
66.5;0.01605;0.0012167;-0.00027926;0.25727;0;0;0;0;0;0;0;0;0;0;0;0;0
67;0.016371;0.0012381;-0.00021472;0.25865;0;0;0;0;0;0;0;0;0;0;0;0;0
67.5;0.016726;0.0012667;-0.00027134;0.26026;0;0;0;0;0;0;0;0;0;0;0;0;0
68;0.017133;0.0013448;-0.00024872;0.26185;0;0;0;0;0;0;0;0;0;0;0;0;0
68.5;0.017426;0.001362;-0.00028206;0.26315;0;0;0;0;0;0;0;0;0;0;0;0;0
68.999;0.01785;0.0013963;-0.0002436;0.26464;0;0;0;0;0;0;0;0;0;0;0;0;0
69.5;0.018196;0.0013612;-0.00032162;0.2661;0;0;0;0;0;0;0;0;0;0;0;0;0
70;0.018569;0.0014596;-0.00033716;0.26754;0;0;0;0;0;0;0;0;0;0;0;0;0
70.5;0.019006;0.0015577;-0.00029463;0.26881;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0.019428;0.0015632;-0.00035381;0.27007;0;0;0;0;0;0;0;0;0;0;0;0;0
71.5;0.019769;0.0015631;-0.00044359;0.2715;0;0;0;0;0;0;0;0;0;0;0;0;0
72;0.020254;0.0017126;-0.00042591;0.27261;0;0;0;0;0;0;0;0;0;0;0;0;0
72.5;0.020654;0.0018028;-0.0004101;0.27389;0;0;0;0;0;0;0;0;0;0;0;0;0
73;0.02112;0.0017562;-0.00040112;0.27514;0;0;0;0;0;0;0;0;0;0;0;0;0
73.5;0.021489;0.0017858;-0.00048222;0.27637;0;0;0;0;0;0;0;0;0;0;0;0;0
74;0.021919;0.0019021;-0.00041019;0.2774;0;0;0;0;0;0;0;0;0;0;0;0;0
74.5;0.022327;0.0019045;-0.00042209;0.27858;0;0;0;0;0;0;0;0;0;0;0;0;0
74.999;0.022716;0.0020169;-0.0004975;0.27974;0;0;0;0;0;0;0;0;0;0;0;0;0
75.5;0.023101;0.0020789;-0.00044236;0.28071;0;0;0;0;0;0;0;0;0;0;0;0;0
76.001;0.023576;0.0020935;-0.00046713;0.28191;0;0;0;0;0;0;0;0;0;0;0;0;0
76.5;0.024079;0.0021995;-0.00049354;0.28293;0;0;0;0;0;0;0;0;0;0;0;0;0
